"%s Gift Card codes has been imported.","%s Gift Card codes has been imported."
"%s has sent you a gift card for using at %s and it is now ready to be used for purchases.","%s has sent you a gift card for using at %s and it is now ready to be used for purchases."
"(days). If empty, no expiration","(days). If empty, no expiration"
"Hidden characters in gift codes will be replaced by the configured character. X is set as default.","Hidden characters in gift codes will be replaced by the configured character. X is set as default."
"The number of gift code's prefixes shown in front-end (This is to avoid code-copying). e.g: GIFT-XXXXXXXX","The number of gift code's prefixes shown in front-end (This is to avoid code-copying). e.g: GIFT-XXXXXXXX"
"The number of gift code's suffixes shown in front-end (This is to avoid code-copying). e.g: XXXXXXXXXX-CODE","The number of gift code's suffixes shown in front-end (This is to avoid code-copying). e.g: XXXXXXXXXX-CODE"
"Action","Action"
"Actions","Actions"
"Active","Active"
"Add Amount","Add Amount"
"Add Code","Add Code"
"Add Gift Card","Add Gift Card"
"Add Gift Card Code","Add Gift Card Code"
"Added Date","Added Date"
"Adding a Check code button on Shopping cart and Checkout page","Adding a Check code button on Shopping cart and Checkout page"
"Additional Information","Additional Information"
"Allow Everything","Allow Everything"
"Allow Using Gift Card to Buy Gift Card products","Allow Using Gift Card to Buy Gift Card products"
"Allow Using Gift Card with Coupon Code","Allow Using Gift Card with Coupon Code"
"Allow checking gift code","Allow checking gift code"
"Allow use multiple Gift Card Code per purchase","Allow use multiple Gift Card Code per purchase"
"Amount","Amount"
"Apply","Apply"
"Apply Gift Card","Apply Gift Card"
"Apply To","Apply To"
"Are you sure?","Are you sure?"
"Auto-send reminder email before","Auto-send reminder email before"
"Auto-send reminder email before Gift Card expires","Auto-send reminder email before Gift Card expires"
"Availability:","Availability:"
"Available","Available"
"Back","Back"
"Back to Gift Card amount","Back to Gift Card amount"
"Balance","Balance"
"Balance Change","Balance Change"
"Balance cannot be less than zero.","Balance cannot be less than zero."
"Both","Both"
"CSV","CSV"
"Cancel","Cancel"
"Cannot add this code.","Cannot add this code."
"Cannot create gift card from gift product. Item id #%s","Cannot create gift card from gift product. Item id #%s"
"Cannot remove this code.","Cannot remove this code."
"Cart Item Conditions","Cart Item Conditions"
"Catalog Product View (Gift Card)","Catalog Product View (Gift Card)"
"Change active","Change active"
"Check Gift Card","Check Gift Card"
"Check Status and Balance","Check Status and Balance"
"Close Window","Close Window"
"Combined","Combined"
"Conditions","Conditions"
"Coupon Code Box","Coupon Code Box"
"Created","Created"
"Created At","Created At"
"Created by %s.","Created by %s."
"Created by: %s.","Created by: %s."
"Custom message","Custom message"
"Date","Date"
"Delete","Delete"
"Dropdown","Dropdown"
"Edit Gift Card: %s","Edit Gift Card: %s"
"Edit Gift Code","Edit Gift Code"
"Email","Email"
"Email Notification","Email Notification"
"Enable","Enable"
"Enable Hidden Code","Enable Hidden Code"
"Enable scheduling Gift Card delivery","Enable scheduling Gift Card delivery"
"Enter gift card code","Enter gift card code"
"Enter your gift card code if you have one.","Enter your gift card code if you have one."
"Excl. Tax:","Excl. Tax:"
"Expiration At","Expiration At"
"Expiration date cannot be in the past.","Expiration date cannot be in the past."
"Expired","Expired"
"Expired At","Expired At"
"Expired Date","Expired Date"
"Expired on","Expired on"
"From","From"
"General Information","General Information"
"General Settings","General Settings"
"Generate Gift Card Account when Order Item is","Generate Gift Card Account when Order Item is"
"Generate gift codes for Gift Card products. Move your mouse to '?' for more details","Generate gift codes for Gift Card products. Move your mouse to '?' for more details"
"Gift Card","Gift Card"
"Gift Card Active","Gift Card Active"
"Gift Card Box","Gift Card Box"
"Gift Card Calculation","Gift Card Calculation"
"Gift Card Code","Gift Card Code"
"Gift Card Code added successfully.","Gift Card Code added successfully."
"Gift Card Code is invalid.","Gift Card Code is invalid."
"Gift Card Code was removed from your list.","Gift Card Code was removed from your list."
"Gift Card Codes","Gift Card Codes"
"Gift Card Email","Gift Card Email"
"Gift Card Email Sender","Gift Card Email Sender"
"Gift Card Email to Purchaser","Gift Card Email to Purchaser"
"Gift Card History","Gift Card History"
"Gift Card Information","Gift Card Information"
"Gift Card Name","Gift Card Name"
"Gift Card Refund Amount","Gift Card Refund Amount"
"Gift Card Reminder Email","Gift Card Reminder Email"
"Gift Card Template","Gift Card Template"
"Gift Card amount is invalid.","Gift Card amount is invalid."
"Gift Card code ","Gift Card code "
"Gift Card code cannot be used with Coupon code.","Gift Card code cannot be used with Coupon code."
"Gift Card max amount is %s","Gift Card max amount is %s"
"Gift Card min amount is %s","Gift Card min amount is %s"
"Gift Card value","Gift Card value"
"Gift Card was successfully deleted","Gift Card was successfully deleted"
"Gift Cards","Gift Cards"
"Gift Cart","Gift Cart"
"Gift Code","Gift Code"
"Gift Code Expire After","Gift Code Expire After"
"Gift Code Expired.","Gift Code Expired."
"Gift Code Pattern","Gift Code Pattern"
"Gift Code Qty","Gift Code Qty"
"Gift Code Settings","Gift Code Settings"
"Gift Codes","Gift Codes"
"Gift Message Maximum Length","Gift Message Maximum Length"
"Gift card Extra Info","Gift card Extra Info"
"Gift card code ","Gift card code "
"GiftCard","GiftCard"
"History","History"
"ID","ID"
"Import","Import"
"Import Codes","Import Codes"
"Import File","Import File"
"Import Form","Import Form"
"Import Gift Card","Import Gift Card"
"Imported by %s","Imported by %s"
"In stock","In stock"
"Inactive","Inactive"
"Incl. Tax","Incl. Tax"
"Incl. Tax:","Incl. Tax:"
"Information displayed on item when buying gift card product","Information displayed on item when buying gift card product"
"Invalid file upload attempt","Invalid file upload attempt"
"Invoiced","Invoiced"
"Item totals are not set.","Item totals are not set."
"Magegiant Extensions","Magegiant Extensions"
"Manage Gift Codes","Manage Gift Codes"
"Maximum number of characters: %s","Maximum number of characters: %s"
"Message","Message"
"Minimum amount: %s. Maximum amount: %s.","Minimum amount: %s. Maximum amount: %s."
"My Gift Cards","My Gift Cards"
"Name","Name"
"No","No"
"No Gift Card code was imported.","No Gift Card code was imported."
"No action found!","No action found!"
"No gift code found!","No gift code found!"
"Notify sender when recipient receives Gift Card","Notify sender when recipient receives Gift Card"
"Optional. This field will help you separate gift card type.","Optional. This field will help you separate gift card type."
"Order #%s.","Order #%s."
"Order #%s. Used by %s.","Order #%s. Used by %s."
"Order Cancelled #%s","Order Cancelled #%s"
"Order Refunded #%s","Order Refunded #%s"
"Order Refunded. Credit memo Id: #%s","Order Refunded. Credit memo Id: #%s"
"Ordered","Ordered"
"Out of stock","Out of stock"
"Physical","Physical"
"Please click on the Close Window button if it is not closed automatically.","Please click on the Close Window button if it is not closed automatically."
"Please enter amount equal or greater than %s","Please enter amount equal or greater than %s"
"Please enter amount equal or less than %s","Please enter amount equal or less than %s"
"Please specify Gift Card amount.","Please specify Gift Card amount."
"Please specify all the required information.","Please specify all the required information."
"Please specify recipient email.","Please specify recipient email."
"Please specify recipient name.","Please specify recipient name."
"Please specify sender email.","Please specify sender email."
"Please specify sender name.","Please specify sender name."
"Please wait, loading...","Please wait, loading..."
"Price","Price"
"Price as configured","Price as configured"
"Product Extra Info","Product Extra Info"
"Range","Range"
"Recipient","Recipient"
"Recipient Email","Recipient Email"
"Recipient Information","Recipient Information"
"Recipient Name","Recipient Name"
"Recipient: %s.","Recipient: %s."
"Redeem Settings","Redeem Settings"
"Refund Gift Card Discount","Refund Gift Card Discount"
"Refunded","Refunded"
"Reminder Email Sent. Recipient: %s","Reminder Email Sent. Recipient: %s"
"Reminder email template","Reminder email template"
"Remove","Remove"
"Replace hidden characters by","Replace hidden characters by"
"Sample .csv file","Sample .csv file"
"Save And Continue Edit","Save And Continue Edit"
"Save And Send Email","Save And Send Email"
"Select Date","Select Date"
"Send Date","Send Date"
"Send Email","Send Email"
"Send Email from Store","Send Email from Store"
"Send Gift Card","Send Gift Card"
"Send Reminder Email to","Send Reminder Email to"
"Send date cannot be in the past","Send date cannot be in the past"
"Send-to-purchaser email template when recipient receives Gift Card","Send-to-purchaser email template when recipient receives Gift Card"
"Sender","Sender"
"Sender Email","Sender Email"
"Sender Information","Sender Information"
"Sender Name","Sender Name"
"Sender: %s.","Sender: %s."
"Sent","Sent"
"Sent by %s.","Sent by %s."
"Separate Box","Separate Box"
"Settings","Settings"
"Shopping Cart Conditions","Shopping Cart Conditions"
"Show Gift Card box in the Payment section","Show Gift Card box in the Payment section"
"Simply use this Gift Card code on the right before %s to take advantage.","Simply use this Gift Card code on the right before %s to take advantage."
"Status","Status"
"Status Change: %s","Status Change: %s"
"The Gift Card code is:","The Gift Card code is:"
"The card has a balance of %s that can be used at %s","The card has a balance of %s that can be used at %s"
"The gift card has been successfully saved.","The gift card has been successfully saved."
"The gift cards have been generated successfully.","The gift cards have been generated successfully."
"The number of codes will be generated. Email cannot be sent if a number of gift codes greater than 10.","The number of codes will be generated. Email cannot be sent if a number of gift codes greater than 10."
"The number of prefixes shown","The number of prefixes shown"
"The number of suffixes shown","The number of suffixes shown"
"This gift card no longer exists.","This gift card no longer exists."
"To","To"
"Type","Type"
"Unable to generate code. Please check the setting and try again.","Unable to generate code. Please check the setting and try again."
"Updated","Updated"
"Updated by %s.","Updated by %s."
"Use Config Settings","Use Config Settings"
"Use Gift Card","Use Gift Card"
"Use Gift Card for shipping fee","Use Gift Card for shipping fee"
"Use Gift Card on","Use Gift Card on"
"Use Gift Message","Use Gift Message"
"Used","Used"
"View","View"
"View Gift Card Detail","View Gift Card Detail"
"View Withdrawal","View Withdrawal"
"Virtual","Virtual"
"Website","Website"
"Wrong Gift Card Code.","Wrong Gift Card Code."
"Wrong gift card specified.","Wrong gift card specified."
"XML","XML"
"Yes","Yes"
"day(s)","day(s)"
